county,countyfips,year,value,age,datatype
Colorado,0,1960,129267,25_29,expectedpopulation
Colorado,0,1960,21.9,25_29,migrationrate
Colorado,0,1960,28386,25_29,netmigration
Colorado,0,1960,111660,30_34,expectedpopulation
Colorado,0,1960,20,30_34,migrationrate
Colorado,0,1960,22348,30_34,netmigration
Colorado,0,1960,111569,35_39,expectedpopulation
Colorado,0,1960,14.1,35_39,migrationrate
Colorado,0,1960,15753,35_39,netmigration
Colorado,0,1960,117091,40_44,expectedpopulation
Colorado,0,1960,9.9,40_44,migrationrate
Colorado,0,1960,11637,40_44,netmigration
Colorado,0,1960,117016,45_49,expectedpopulation
Colorado,0,1960,6.9,45_49,migrationrate
Colorado,0,1960,8093,45_49,netmigration
Colorado,0,1960,104477,50_54,expectedpopulation
Colorado,0,1960,4.7,50_54,migrationrate
Colorado,0,1960,4981,50_54,netmigration
Colorado,0,1960,90555,55_59,expectedpopulation
Colorado,0,1960,3,55_59,migrationrate
Colorado,0,1960,2736,55_59,netmigration
Colorado,0,1960,76503,60_64,expectedpopulation
Colorado,0,1960,3.3,60_64,migrationrate
Colorado,0,1960,2600,60_64,netmigration
Colorado,0,1960,60061,65_69,expectedpopulation
Colorado,0,1960,3.4,65_69,migrationrate
Colorado,0,1960,2079,65_69,netmigration
Colorado,0,1960,47292,70_74,expectedpopulation
Colorado,0,1960,4.5,70_74,migrationrate
Colorado,0,1960,2131,70_74,netmigration
Colorado,0,1970,215876,00_04,expectedpopulation
Colorado,0,1970,1.1,00_04,migrationrate
Colorado,0,1970,2393,00_04,netmigration
Colorado,0,1970,194967,05_09,expectedpopulation
Colorado,0,1970,10.2,05_09,migrationrate
Colorado,0,1970,20024,05_09,netmigration
Colorado,0,1970,191409,10_14,expectedpopulation
Colorado,0,1970,18.2,10_14,migrationrate
Colorado,0,1970,34955,10_14,netmigration
Colorado,0,1970,229918,15_19,expectedpopulation
Colorado,0,1970,16.7,15_19,migrationrate
Colorado,0,1970,38599,15_19,netmigration
Colorado,0,1970,236443,20_24,expectedpopulation
Colorado,0,1970,29.8,20_24,migrationrate
Colorado,0,1970,70680,20_24,netmigration
Colorado,0,1970,219319,25_29,expectedpopulation
Colorado,0,1970,41.2,25_29,migrationrate
Colorado,0,1970,90414,25_29,netmigration
Colorado,0,1970,207263,30_34,expectedpopulation
Colorado,0,1970,30.4,30_34,migrationrate
Colorado,0,1970,63026,30_34,netmigration
Colorado,0,1970,160847,35_39,expectedpopulation
Colorado,0,1970,22.4,35_39,migrationrate
Colorado,0,1970,36166,35_39,netmigration
Colorado,0,1970,135560,40_44,expectedpopulation
Colorado,0,1970,15.4,40_44,migrationrate
Colorado,0,1970,20971,40_44,netmigration
Colorado,0,1970,127403,45_49,expectedpopulation
Colorado,0,1970,10.6,45_49,migrationrate
Colorado,0,1970,13551,45_49,netmigration
Colorado,0,1970,126126,50_54,expectedpopulation
Colorado,0,1970,6.8,50_54,migrationrate
Colorado,0,1970,8669,50_54,netmigration
Colorado,0,1970,120274,55_59,expectedpopulation
Colorado,0,1970,5.5,55_59,migrationrate
Colorado,0,1970,6654,55_59,netmigration
Colorado,0,1970,99639,60_64,expectedpopulation
Colorado,0,1970,3.7,60_64,migrationrate
Colorado,0,1970,3757,60_64,netmigration
Colorado,0,1970,80825,65_69,expectedpopulation
Colorado,0,1970,3,65_69,migrationrate
Colorado,0,1970,2487,65_69,netmigration
Colorado,0,1970,62246,70_74,expectedpopulation
Colorado,0,1970,3.5,70_74,migrationrate
Colorado,0,1970,2184,70_74,netmigration
Colorado,0,1980,267369,00_04,expectedpopulation
Colorado,0,1980,-0.8,00_04,migrationrate
Colorado,0,1980,-2230,00_04,netmigration
Colorado,0,1980,265044,05_09,expectedpopulation
Colorado,0,1980,-1.8,05_09,migrationrate
Colorado,0,1980,-5022,05_09,netmigration
Colorado,0,1980,218430,10_14,expectedpopulation
Colorado,0,1980,4.6,10_14,migrationrate
Colorado,0,1980,10070,10_14,netmigration
Colorado,0,1980,216025,15_19,expectedpopulation
Colorado,0,1980,2.7,15_19,migrationrate
Colorado,0,1980,5951,15_19,netmigration
Colorado,0,1980,228112,20_24,expectedpopulation
Colorado,0,1980,4.7,20_24,migrationrate
Colorado,0,1980,10872,20_24,netmigration
Colorado,0,1980,268561,25_29,expectedpopulation
Colorado,0,1980,11.8,25_29,migrationrate
Colorado,0,1980,31850,25_29,netmigration
Colorado,0,1980,306630,30_34,expectedpopulation
Colorado,0,1980,7.7,30_34,migrationrate
Colorado,0,1980,23860,30_34,netmigration
Colorado,0,1980,307114,35_39,expectedpopulation
Colorado,0,1980,0.7,35_39,migrationrate
Colorado,0,1980,2179,35_39,netmigration
Colorado,0,1980,266080,40_44,expectedpopulation
Colorado,0,1980,-0.9,40_44,migrationrate
Colorado,0,1980,-2558,40_44,netmigration
Colorado,0,1980,191967,45_49,expectedpopulation
Colorado,0,1980,0,45_49,migrationrate
Colorado,0,1980,-158,45_49,netmigration
Colorado,0,1980,149832,50_54,expectedpopulation
Colorado,0,1980,-0.5,50_54,migrationrate
Colorado,0,1980,-810,50_54,netmigration
Colorado,0,1980,132329,55_59,expectedpopulation
Colorado,0,1980,-0.3,55_59,migrationrate
Colorado,0,1980,-524,55_59,netmigration
Colorado,0,1980,121384,60_64,expectedpopulation
Colorado,0,1980,1.4,60_64,migrationrate
Colorado,0,1980,1794,60_64,netmigration
Colorado,0,1980,108443,65_69,expectedpopulation
Colorado,0,1980,2.5,65_69,migrationrate
Colorado,0,1980,2791,65_69,netmigration
Colorado,0,1980,81517,70_74,expectedpopulation
Colorado,0,1980,3,70_74,migrationrate
Colorado,0,1980,2483,70_74,netmigration
Colorado,0,1990,288320,00_04,expectedpopulation
Colorado,0,1990,7.1,00_04,migrationrate
Colorado,0,1990,20484,00_04,netmigration
Colorado,0,1990,267332,05_09,expectedpopulation
Colorado,0,1990,16.9,05_09,migrationrate
Colorado,0,1990,45287,05_09,netmigration
Colorado,0,1990,266086,10_14,expectedpopulation
Colorado,0,1990,15.4,10_14,migrationrate
Colorado,0,1990,41219,10_14,netmigration
Colorado,0,1990,258581,15_19,expectedpopulation
Colorado,0,1990,15.8,15_19,migrationrate
Colorado,0,1990,40900,15_19,netmigration
Colorado,0,1990,224615,20_24,expectedpopulation
Colorado,0,1990,34.9,20_24,migrationrate
Colorado,0,1990,78580,20_24,netmigration
Colorado,0,1990,220953,25_29,expectedpopulation
Colorado,0,1990,50,25_29,migrationrate
Colorado,0,1990,110525,25_29,netmigration
Colorado,0,1990,238742,30_34,expectedpopulation
Colorado,0,1990,38.8,30_34,migrationrate
Colorado,0,1990,92843,30_34,netmigration
Colorado,0,1990,295673,35_39,expectedpopulation
Colorado,0,1990,24,35_39,migrationrate
Colorado,0,1990,71203,35_39,netmigration
Colorado,0,1990,322340,40_44,expectedpopulation
Colorado,0,1990,15.2,40_44,migrationrate
Colorado,0,1990,49315,40_44,netmigration
Colorado,0,1990,302955,45_49,expectedpopulation
Colorado,0,1990,10.8,45_49,migrationrate
Colorado,0,1990,33020,45_49,netmigration
Colorado,0,1990,258417,50_54,expectedpopulation
Colorado,0,1990,7.5,50_54,migrationrate
Colorado,0,1990,19617,50_54,netmigration
Colorado,0,1990,185937,55_59,expectedpopulation
Colorado,0,1990,5.4,55_59,migrationrate
Colorado,0,1990,10047,55_59,netmigration
Colorado,0,1990,140719,60_64,expectedpopulation
Colorado,0,1990,3,60_64,migrationrate
Colorado,0,1990,4346,60_64,netmigration
Colorado,0,1990,117932,65_69,expectedpopulation
Colorado,0,1990,2,65_69,migrationrate
Colorado,0,1990,2439,65_69,netmigration
Colorado,0,1990,102252,70_74,expectedpopulation
Colorado,0,1990,1.8,70_74,migrationrate
Colorado,0,1990,1924,70_74,netmigration
Colorado,0,2000,346673,00_04,expectedpopulation
Colorado,0,2000,3.3,00_04,migrationrate
Colorado,0,2000,11784,00_04,netmigration
Colorado,0,2000,337391,05_09,expectedpopulation
Colorado,0,2000,4.5,05_09,migrationrate
Colorado,0,2000,15322,05_09,netmigration
Colorado,0,2000,309255,10_14,expectedpopulation
Colorado,0,2000,7.5,10_14,migrationrate
Colorado,0,2000,23398,10_14,netmigration
Colorado,0,2000,311879,15_19,expectedpopulation
Colorado,0,2000,7.5,15_19,migrationrate
Colorado,0,2000,23553,15_19,netmigration
Colorado,0,2000,305562,20_24,expectedpopulation
Colorado,0,2000,14.6,20_24,migrationrate
Colorado,0,2000,44720,20_24,netmigration
Colorado,0,2000,300520,25_29,expectedpopulation
Colorado,0,2000,25.4,25_29,migrationrate
Colorado,0,2000,76629,25_29,netmigration
Colorado,0,2000,304861,30_34,expectedpopulation
Colorado,0,2000,17.2,30_34,migrationrate
Colorado,0,2000,52599,30_34,netmigration
Colorado,0,2000,329507,35_39,expectedpopulation
Colorado,0,2000,8.1,35_39,migrationrate
Colorado,0,2000,26694,35_39,netmigration
Colorado,0,2000,331389,40_44,expectedpopulation
Colorado,0,2000,4.5,40_44,migrationrate
Colorado,0,2000,15231,40_44,netmigration
Colorado,0,2000,361564,45_49,expectedpopulation
Colorado,0,2000,2.8,45_49,migrationrate
Colorado,0,2000,10369,45_49,netmigration
Colorado,0,2000,362585,50_54,expectedpopulation
Colorado,0,2000,1.8,50_54,migrationrate
Colorado,0,2000,6705,50_54,netmigration
Colorado,0,2000,323328,55_59,expectedpopulation
Colorado,0,2000,0.7,55_59,migrationrate
Colorado,0,2000,2281,55_59,netmigration
Colorado,0,2000,258995,60_64,expectedpopulation
Colorado,0,2000,2.5,60_64,migrationrate
Colorado,0,2000,6478,60_64,netmigration
Colorado,0,2000,174349,65_69,expectedpopulation
Colorado,0,2000,3.4,65_69,migrationrate
Colorado,0,2000,6071,65_69,netmigration
Colorado,0,2000,121902,70_74,expectedpopulation
Colorado,0,2000,4,70_74,migrationrate
Colorado,0,2000,4882,70_74,netmigration
Colorado,0,2010,320779.53,00_04,expectedpopulation
Colorado,0,2010,0.6,00_04,migrationrate
Colorado,0,2010,1921,00_04,netmigration
Colorado,0,2010,325280.19,05_09,expectedpopulation
Colorado,0,2010,5.71,05_09,migrationrate
Colorado,0,2010,18570,05_09,netmigration
Colorado,0,2010,360837.72,10_14,expectedpopulation
Colorado,0,2010,3.81,10_14,migrationrate
Colorado,0,2010,13743,10_14,netmigration
Colorado,0,2010,354896.44,15_19,expectedpopulation
Colorado,0,2010,4.77,15_19,migrationrate
Colorado,0,2010,16923,15_19,netmigration
Colorado,0,2010,330516.31,20_24,expectedpopulation
Colorado,0,2010,12.96,20_24,migrationrate
Colorado,0,2010,42825,20_24,netmigration
Colorado,0,2010,328454.34,25_29,expectedpopulation
Colorado,0,2010,36.48,25_29,migrationrate
Colorado,0,2010,119806,25_29,netmigration
Colorado,0,2010,341738.53,30_34,expectedpopulation
Colorado,0,2010,33.48,30_34,migrationrate
Colorado,0,2010,114414,30_34,netmigration
Colorado,0,2010,370875.47,35_39,expectedpopulation
Colorado,0,2010,17.16,35_39,migrationrate
Colorado,0,2010,63629,35_39,netmigration
Colorado,0,2010,351816.25,40_44,expectedpopulation
Colorado,0,2010,8.82,40_44,migrationrate
Colorado,0,2010,31029,40_44,netmigration
Colorado,0,2010,348324.5,45_49,expectedpopulation
Colorado,0,2010,4.49,45_49,migrationrate
Colorado,0,2010,15650,45_49,netmigration
Colorado,0,2010,337196.63,50_54,expectedpopulation
Colorado,0,2010,2.48,50_54,migrationrate
Colorado,0,2010,8358,50_54,netmigration
Colorado,0,2010,357182.91,55_59,expectedpopulation
Colorado,0,2010,1.36,55_59,migrationrate
Colorado,0,2010,4860,55_59,netmigration
Colorado,0,2010,345638.31,60_64,expectedpopulation
Colorado,0,2010,1.52,60_64,migrationrate
Colorado,0,2010,5262,60_64,netmigration
Colorado,0,2010,295862.13,65_69,expectedpopulation
Colorado,0,2010,1.65,65_69,migrationrate
Colorado,0,2010,4878,65_69,netmigration
Colorado,0,2010,231504.2,70_74,expectedpopulation
Colorado,0,2010,0.5,70_74,migrationrate
Colorado,0,2010,1153,70_74,netmigration
Adams,1,1950,6587,00_04,netmigration
Adams,1,1950,10267,05_09,netmigration
Adams,1,1950,6906,10_14,netmigration
Adams,1,1950,2946,15_19,netmigration
Adams,1,1950,4555,20_24,netmigration
Adams,1,1950,8313,25_29,netmigration
Adams,1,1950,7660,30_34,netmigration
Adams,1,1950,5458,35_39,netmigration
Adams,1,1950,3308,40_44,netmigration
Adams,1,1950,2005,45_49,netmigration
Adams,1,1950,1281,50_54,netmigration
Adams,1,1950,718,55_59,netmigration
Adams,1,1950,465,60_64,netmigration
Adams,1,1950,353,65_69,netmigration
Adams,1,1950,286,70_74,netmigration
Adams,1,1960,2502,00_04,netmigration
Adams,1,1960,5852,05_09,netmigration
Adams,1,1960,4157,10_14,netmigration
Adams,1,1960,-88,15_19,netmigration
Adams,1,1960,1578,20_24,netmigration
Adams,1,1960,7768,25_29,netmigration
Adams,1,1960,6463,30_34,netmigration
Adams,1,1960,1979,35_39,netmigration
Adams,1,1960,991,40_44,netmigration
Adams,1,1960,699,45_49,netmigration
Adams,1,1960,795,50_54,netmigration
Adams,1,1960,775,55_59,netmigration
Adams,1,1960,751,60_64,netmigration
Adams,1,1960,480,65_69,netmigration
Adams,1,1960,303,70_74,netmigration
Adams,1,1970,21484,00_04,expectedpopulation
Adams,1,1970,1.7,00_04,migrationrate
Adams,1,1970,378,00_04,netmigration
Adams,1,1970,18183,05_09,expectedpopulation
Adams,1,1970,15.1,05_09,migrationrate
Adams,1,1970,2760,05_09,netmigration
Adams,1,1970,18877,10_14,expectedpopulation
Adams,1,1970,12.7,10_14,migrationrate
Adams,1,1970,2409,10_14,netmigration
Adams,1,1970,24987,15_19,expectedpopulation
Adams,1,1970,-2.4,15_19,migrationrate
Adams,1,1970,-600,15_19,netmigration
Adams,1,1970,24550,20_24,expectedpopulation
Adams,1,1970,11.1,20_24,migrationrate
Adams,1,1970,2730,20_24,netmigration
Adams,1,1970,17099,25_29,expectedpopulation
Adams,1,1970,54.2,25_29,migrationrate
Adams,1,1970,9270,25_29,netmigration
Adams,1,1970,14023,30_34,expectedpopulation
Adams,1,1970,55.7,30_34,migrationrate
Adams,1,1970,7824,30_34,netmigration
Adams,1,1970,14853,35_39,expectedpopulation
Adams,1,1970,6.4,35_39,migrationrate
Adams,1,1970,957,35_39,netmigration
Adams,1,1970,14059,40_44,expectedpopulation
Adams,1,1970,-1.8,40_44,migrationrate
Adams,1,1970,-262,40_44,netmigration
Adams,1,1970,12963,45_49,expectedpopulation
Adams,1,1970,-1.7,45_49,migrationrate
Adams,1,1970,-226,45_49,netmigration
Adams,1,1970,11712,50_54,expectedpopulation
Adams,1,1970,0.5,50_54,migrationrate
Adams,1,1970,65,50_54,netmigration
Adams,1,1970,9560,55_59,expectedpopulation
Adams,1,1970,4.7,55_59,migrationrate
Adams,1,1970,453,55_59,netmigration
Adams,1,1970,6806,60_64,expectedpopulation
Adams,1,1970,8.7,60_64,migrationrate
Adams,1,1970,598,60_64,netmigration
Adams,1,1970,4506,65_69,expectedpopulation
Adams,1,1970,11.7,65_69,migrationrate
Adams,1,1970,529,65_69,netmigration
Adams,1,1970,2983,70_74,expectedpopulation
Adams,1,1970,15,70_74,migrationrate
Adams,1,1970,449,70_74,netmigration
Adams,1,1980,24815,00_04,expectedpopulation
Adams,1,1980,-2.8,00_04,migrationrate
Adams,1,1980,-710,00_04,netmigration
Adams,1,1980,25136,05_09,expectedpopulation
Adams,1,1980,-6.1,05_09,migrationrate
Adams,1,1980,-1554,05_09,netmigration
Adams,1,1980,21796,10_14,expectedpopulation
Adams,1,1980,-7.8,10_14,migrationrate
Adams,1,1980,-1712,10_14,netmigration
Adams,1,1980,20994,15_19,expectedpopulation
Adams,1,1980,-13.3,15_19,migrationrate
Adams,1,1980,-2797,15_19,netmigration
Adams,1,1980,21189,20_24,expectedpopulation
Adams,1,1980,-10.3,20_24,migrationrate
Adams,1,1980,-2192,20_24,netmigration
Adams,1,1980,24220,25_29,expectedpopulation
Adams,1,1980,9.1,25_29,migrationrate
Adams,1,1980,2222,25_29,netmigration
Adams,1,1980,27015,30_34,expectedpopulation
Adams,1,1980,1.7,30_34,migrationrate
Adams,1,1980,472,30_34,netmigration
Adams,1,1980,26055,35_39,expectedpopulation
Adams,1,1980,-10.1,35_39,migrationrate
Adams,1,1980,-2648,35_39,netmigration
Adams,1,1980,21494,40_44,expectedpopulation
Adams,1,1980,-10.7,40_44,migrationrate
Adams,1,1980,-2317,40_44,netmigration
Adams,1,1980,15396,45_49,expectedpopulation
Adams,1,1980,-6.5,45_49,migrationrate
Adams,1,1980,-1001,45_49,netmigration
Adams,1,1980,13220,50_54,expectedpopulation
Adams,1,1980,-7.2,50_54,migrationrate
Adams,1,1980,-951,50_54,netmigration
Adams,1,1980,11974,55_59,expectedpopulation
Adams,1,1980,-7.3,55_59,migrationrate
Adams,1,1980,-873,55_59,netmigration
Adams,1,1980,10604,60_64,expectedpopulation
Adams,1,1980,-7.9,60_64,migrationrate
Adams,1,1980,-839,60_64,netmigration
Adams,1,1980,8547,65_69,expectedpopulation
Adams,1,1980,-9.2,65_69,migrationrate
Adams,1,1980,-791,65_69,netmigration
Adams,1,1980,5817,70_74,expectedpopulation
Adams,1,1980,-9.3,70_74,migrationrate
Adams,1,1980,-542,70_74,netmigration
Adams,1,1990,25790,00_04,expectedpopulation
Adams,1,1990,23,00_04,migrationrate
Adams,1,1990,5951,00_04,netmigration
Adams,1,1990,23765,05_09,expectedpopulation
Adams,1,1990,26.8,05_09,migrationrate
Adams,1,1990,6377,05_09,netmigration
Adams,1,1990,24073,10_14,expectedpopulation
Adams,1,1990,13,10_14,migrationrate
Adams,1,1990,3140,10_14,netmigration
Adams,1,1990,23352,15_19,expectedpopulation
Adams,1,1990,9.7,15_19,migrationrate
Adams,1,1990,2278,15_19,netmigration
Adams,1,1990,19640,20_24,expectedpopulation
Adams,1,1990,36.6,20_24,migrationrate
Adams,1,1990,7194,20_24,netmigration
Adams,1,1990,18060,25_29,expectedpopulation
Adams,1,1990,71.7,25_29,migrationrate
Adams,1,1990,12954,25_29,netmigration
Adams,1,1990,18898,30_34,expectedpopulation
Adams,1,1990,64.2,30_34,migrationrate
Adams,1,1990,12135,30_34,netmigration
Adams,1,1990,25935,35_39,expectedpopulation
Adams,1,1990,23.6,35_39,migrationrate
Adams,1,1990,6131,35_39,netmigration
Adams,1,1990,26732,40_44,expectedpopulation
Adams,1,1990,10.4,40_44,migrationrate
Adams,1,1990,2785,40_44,netmigration
Adams,1,1990,22819,45_49,expectedpopulation
Adams,1,1990,6.7,45_49,migrationrate
Adams,1,1990,1551,45_49,netmigration
Adams,1,1990,18662,50_54,expectedpopulation
Adams,1,1990,8.7,50_54,migrationrate
Adams,1,1990,1632,50_54,netmigration
Adams,1,1990,13824,55_59,expectedpopulation
Adams,1,1990,5.3,55_59,migrationrate
Adams,1,1990,741,55_59,netmigration
Adams,1,1990,11517,60_64,expectedpopulation
Adams,1,1990,-2.2,60_64,migrationrate
Adams,1,1990,-259,60_64,netmigration
Adams,1,1990,9811,65_69,expectedpopulation
Adams,1,1990,-5.3,65_69,migrationrate
Adams,1,1990,-523,65_69,netmigration
Adams,1,1990,7906,70_74,expectedpopulation
Adams,1,1990,-3.9,70_74,migrationrate
Adams,1,1990,-311,70_74,netmigration
Adams,1,2000,34907,00_04,expectedpopulation
Adams,1,2000,13.3,00_04,migrationrate
Adams,1,2000,4656,00_04,netmigration
Adams,1,2000,31461,05_09,expectedpopulation
Adams,1,2000,18.6,05_09,migrationrate
Adams,1,2000,5879,05_09,netmigration
Adams,1,2000,30232,10_14,expectedpopulation
Adams,1,2000,9.6,10_14,migrationrate
Adams,1,2000,2909,10_14,netmigration
Adams,1,2000,28637,15_19,expectedpopulation
Adams,1,2000,3.6,15_19,migrationrate
Adams,1,2000,1059,15_19,netmigration
Adams,1,2000,25863,20_24,expectedpopulation
Adams,1,2000,16.2,20_24,migrationrate
Adams,1,2000,4200,20_24,netmigration
Adams,1,2000,24722,25_29,expectedpopulation
Adams,1,2000,47.6,25_29,migrationrate
Adams,1,2000,11787,25_29,netmigration
Adams,1,2000,26379,30_34,expectedpopulation
Adams,1,2000,38,30_34,migrationrate
Adams,1,2000,10041,30_34,netmigration
Adams,1,2000,29611,35_39,expectedpopulation
Adams,1,2000,16.9,35_39,migrationrate
Adams,1,2000,5012,35_39,netmigration
Adams,1,2000,29245,40_44,expectedpopulation
Adams,1,2000,6.8,40_44,migrationrate
Adams,1,2000,2007,40_44,netmigration
Adams,1,2000,29769,45_49,expectedpopulation
Adams,1,2000,2.3,45_49,migrationrate
Adams,1,2000,712,45_49,netmigration
Adams,1,2000,27282,50_54,expectedpopulation
Adams,1,2000,3,50_54,migrationrate
Adams,1,2000,819,50_54,netmigration
Adams,1,2000,22271,55_59,expectedpopulation
Adams,1,2000,3.8,55_59,migrationrate
Adams,1,2000,846,55_59,netmigration
Adams,1,2000,17924,60_64,expectedpopulation
Adams,1,2000,3,60_64,migrationrate
Adams,1,2000,544,60_64,netmigration
Adams,1,2000,12276,65_69,expectedpopulation
Adams,1,2000,0.2,65_69,migrationrate
Adams,1,2000,28,65_69,netmigration
Adams,1,2000,8973,70_74,expectedpopulation
Adams,1,2000,-1,70_74,migrationrate
Adams,1,2000,-93,70_74,netmigration
Adams,1,2010,32168.98,00_04,expectedpopulation
Adams,1,2010,7.41,00_04,migrationrate
Adams,1,2010,2385,00_04,netmigration
Adams,1,2010,33440.37,05_09,expectedpopulation
Adams,1,2010,10.34,05_09,migrationrate
Adams,1,2010,3458,05_09,netmigration
Adams,1,2010,39668.48,10_14,expectedpopulation
Adams,1,2010,1.31,10_14,migrationrate
Adams,1,2010,520,10_14,netmigration
Adams,1,2010,37448.6,15_19,expectedpopulation
Adams,1,2010,-2.01,15_19,migrationrate
Adams,1,2010,-754,15_19,netmigration
Adams,1,2010,32809.23,20_24,expectedpopulation
Adams,1,2010,-0.23,20_24,migrationrate
Adams,1,2010,-76,20_24,netmigration
Adams,1,2010,28888.16,25_29,expectedpopulation
Adams,1,2010,40.31,25_29,migrationrate
Adams,1,2010,11646,25_29,netmigration
Adams,1,2010,29470.49,30_34,expectedpopulation
Adams,1,2010,47,30_34,migrationrate
Adams,1,2010,13853,30_34,netmigration
Adams,1,2010,36007.5,35_39,expectedpopulation
Adams,1,2010,16.67,35_39,migrationrate
Adams,1,2010,6002,35_39,netmigration
Adams,1,2010,35766.59,40_44,expectedpopulation
Adams,1,2010,2.52,40_44,migrationrate
Adams,1,2010,902,40_44,netmigration
Adams,1,2010,33772.85,45_49,expectedpopulation
Adams,1,2010,-0.94,45_49,migrationrate
Adams,1,2010,-316,45_49,netmigration
Adams,1,2010,30257.5,50_54,expectedpopulation
Adams,1,2010,0.64,50_54,migrationrate
Adams,1,2010,193,50_54,netmigration
Adams,1,2010,29047.72,55_59,expectedpopulation
Adams,1,2010,2.7,55_59,migrationrate
Adams,1,2010,784,55_59,netmigration
Adams,1,2010,26049.46,60_64,expectedpopulation
Adams,1,2010,2.85,60_64,migrationrate
Adams,1,2010,743,60_64,netmigration
Adams,1,2010,20610.51,65_69,expectedpopulation
Adams,1,2010,-0.59,65_69,migrationrate
Adams,1,2010,-123,65_69,netmigration
Adams,1,2010,15544.43,70_74,expectedpopulation
Adams,1,2010,-1.81,70_74,migrationrate
Adams,1,2010,-281,70_74,netmigration
Alamosa,3,1950,1385,00_04,expectedpopulation
Alamosa,3,1950,-7.5,00_04,migrationrate
Alamosa,3,1950,-104,00_04,netmigration
Alamosa,3,1950,1380,05_09,expectedpopulation
Alamosa,3,1950,-21,05_09,migrationrate
Alamosa,3,1950,-291,05_09,netmigration
Alamosa,3,1950,1399,10_14,expectedpopulation
Alamosa,3,1950,-29.8,10_14,migrationrate
Alamosa,3,1950,-417,10_14,netmigration
Alamosa,3,1950,1113,15_19,expectedpopulation
Alamosa,3,1950,-12.3,15_19,migrationrate
Alamosa,3,1950,-137,15_19,netmigration
Alamosa,3,1950,951,20_24,expectedpopulation
Alamosa,3,1950,-9.2,20_24,migrationrate
Alamosa,3,1950,-88,20_24,netmigration
Alamosa,3,1950,901,25_29,expectedpopulation
Alamosa,3,1950,-29.4,25_29,migrationrate
Alamosa,3,1950,-265,25_29,netmigration
Alamosa,3,1950,884,30_34,expectedpopulation
Alamosa,3,1950,-33,30_34,migrationrate
Alamosa,3,1950,-292,30_34,netmigration
Alamosa,3,1950,837,35_39,expectedpopulation
Alamosa,3,1950,-34.1,35_39,migrationrate
Alamosa,3,1950,-286,35_39,netmigration
Alamosa,3,1950,737,40_44,expectedpopulation
Alamosa,3,1950,-26.5,40_44,migrationrate
Alamosa,3,1950,-196,40_44,netmigration
Alamosa,3,1950,659,45_49,expectedpopulation
Alamosa,3,1950,-20.7,45_49,migrationrate
Alamosa,3,1950,-137,45_49,netmigration
